"","kfmid","pxid"
"1361",4,76034
"1362",4,76035
"1363",4,76036
"1364",4,76037
"1365",4,76038
"1366",4,76072
"1367",4,76073
"1368",4,76074
"1369",4,76075
"1370",4,76076
"1371",4,76077
"1372",4,76078
"1373",4,76079
"1374",4,76080
"1375",4,76081
"1376",4,76082
"1377",4,76119
"1378",4,76120
"1379",4,76121
"1380",4,76122
"1381",4,76123
"1382",4,76162
"1383",4,76163
"1384",4,76164
"1385",4,76196
"1386",4,76197
"1387",5,74161
"1388",5,74162
"1389",5,74163
"1390",5,74232
"1391",5,74233
"1392",5,74234
"1393",5,74235
"1394",5,74236
"1395",5,74237
"1396",5,74238
"1397",5,74239
"1398",5,74240
"1399",5,74241
"1400",5,74242
"1401",5,74308
"1402",5,74309
"1403",5,74310
"1404",5,74311
"1405",5,74312
"1406",5,74313
"1407",5,74314
"1408",5,74315
"1409",5,74316
"1410",5,74317
"1411",5,74318
"1412",5,74319
"1413",5,74320
"1414",5,74321
"1415",5,74322
"1416",5,74323
"1417",5,74384
"1418",5,74385
"1419",5,74386
"1420",5,74387
"1421",5,74388
"1422",5,74389
"1423",5,74390
"1424",5,74391
"1425",5,74392
"1426",5,74393
"1427",5,74394
"1428",5,74395
"1429",5,74396
"1430",5,74397
"1431",5,74398
"1432",5,74399
"1433",5,74400
"1434",5,74460
"1435",5,74461
"1436",5,74462
"1437",5,74463
"1438",5,74464
"1439",5,74465
"1440",5,74466
"1441",5,74467
"1442",5,74468
"1443",5,74469
"1444",5,74470
"1445",5,74471
"1446",5,74472
"1447",5,74473
"1448",5,74474
"1449",5,74475
"1450",5,74476
"1451",5,74477
"1452",5,74478
"1453",5,74540
"1454",5,74541
"1455",5,74542
"1456",5,74543
"1457",5,74544
"1458",5,74545
"1459",5,74546
"1460",5,74547
"1461",5,74548
"1462",5,74549
"1463",5,74550
"1464",5,74551
